onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	22	F
54	8	clip	114	mono
72	12	clip	83	F
96	8	clip	116	mono
116	12	clip	92	F
136	8	clip	50	F
154	8	clip	56	F
178	8	clip	118	mono
194	12	clip	37	F
214	12	clip	77	F
236	12	clip	86	F
264	12	clip	43	F
284	12	clip	15	F
312	12	clip	76	F
338	8	clip	46	F
354	12	clip	13	F
378	8	clip	124	mono
400	12	clip	39	F
422	12	clip	66	F
444	8	clip	35	F
460	8	clip	19	F
478	48	Go_NoGo	-1	Go_NoGo
532	8	clip	58	F
548	8	clip	64	F
570	12	clip	78	F
590	12	clip	29	F
612	12	clip	93	F
632	8	clip	5	F
654	12	clip	48	F
674	8	clip	52	F
690	12	clip	1	F
714	12	clip	72	F
736	16	clip	98	F
762	12	clip	89	F
786	12	clip	31	F
806	12	clip	70	F
828	12	clip	8	F
854	12	clip	67	F
880	8	clip	128	mono
904	12	clip	18	F
930	16	clip	107	F
954	12	clip	24	X
974	8	clip	113	mono
992	48	Go_NoGo	-1	Go_NoGo
1048	16	clip	105	X
1072	8	clip	123	mono
1088	8	clip	14	F
1104	16	clip	101	F
1128	12	clip	65	F
1148	16	clip	104	F
1180	8	clip	10	F
1204	12	clip	96	F
1224	12	clip	9	F
1252	12	clip	45	F
1272	12	clip	74	F
1292	8	clip	61	F
1312	12	clip	41	X
1334	8	clip	119	mono
1350	8	clip	63	F
1366	8	clip	23	F
1384	16	clip	99	R
1410	8	clip	59	F
1428	16	clip	110	F
1458	12	clip	88	F
1486	16	clip	112	F
1514	12	clip	2	F
