onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	21	F
56	16	clip	97	F
84	8	clip	57	F
108	12	clip	69	F
132	8	clip	42	F
156	12	clip	33	F
180	12	clip	20	F
200	8	clip	60	F
222	12	clip	80	X
246	12	clip	82	F
274	12	clip	91	X
294	12	clip	68	F
320	12	clip	26	F
348	16	clip	106	F
374	8	clip	62	F
390	12	clip	30	F
410	12	clip	47	F
432	16	clip	103	R
456	12	clip	95	R
478	16	clip	109	F
502	12	clip	40	F
522	48	Go_NoGo	-1	Go_NoGo
578	12	clip	3	F
600	8	clip	122	mono
616	12	clip	71	F
638	12	clip	81	F
658	12	clip	79	F
678	8	clip	44	F
700	8	clip	121	mono
716	12	clip	75	X
738	8	clip	53	R
754	8	clip	127	mono
778	8	clip	4	F
796	8	clip	49	F
816	8	clip	115	mono
834	12	clip	73	F
856	12	clip	7	F
882	12	clip	27	F
902	8	clip	55	F
920	16	clip	100	F
944	8	clip	117	mono
962	12	clip	90	F
982	12	clip	36	F
1004	48	Go_NoGo	-1	Go_NoGo
1060	12	clip	94	F
1086	12	clip	38	F
1106	8	clip	28	R
1122	8	clip	11	F
1138	12	clip	34	F
1158	16	clip	111	F
1184	12	clip	32	R
1210	8	clip	120	mono
1226	8	clip	125	mono
1246	12	clip	87	F
1266	12	clip	25	F
1290	12	clip	85	R
1310	8	clip	6	F
1330	16	clip	102	F
1362	8	clip	126	mono
1384	8	clip	16	F
1400	8	clip	17	F
1418	8	clip	54	F
1436	12	clip	12	F
1464	16	clip	108	F
1494	12	clip	84	F
1522	8	clip	51	F
