onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	21	F
56	8	clip	126	mono
80	8	clip	29	F
100	8	clip	88	F
124	16	clip	112	F
148	12	clip	44	F
174	12	clip	58	R
194	12	clip	23	F
216	12	clip	6	R
238	12	clip	69	F
264	12	clip	38	F
284	12	clip	50	R
306	12	clip	80	X
328	12	clip	54	F
352	8	clip	82	F
368	8	clip	121	mono
384	8	clip	32	F
400	8	clip	96	F
416	12	clip	8	F
436	12	clip	10	F
456	12	clip	42	F
480	48	Go_NoGo	-1	Go_NoGo
536	12	clip	19	F
556	8	clip	114	mono
576	12	clip	73	F
598	12	clip	22	R
622	16	clip	97	F
646	8	clip	40	F
664	8	clip	122	mono
682	8	clip	48	F
698	12	clip	63	F
718	12	clip	78	F
744	12	clip	2	F
772	12	clip	5	F
794	12	clip	61	F
822	12	clip	43	F
842	8	clip	95	F
860	12	clip	17	F
888	8	clip	115	mono
904	16	clip	101	F
932	8	clip	30	F
948	12	clip	49	F
976	12	clip	25	F
996	48	Go_NoGo	-1	Go_NoGo
1052	8	clip	87	F
1068	8	clip	83	F
1090	8	clip	39	F
1108	16	clip	106	F
1140	16	clip	109	F
1166	8	clip	125	mono
1188	8	clip	123	mono
1204	16	clip	102	R
1228	16	clip	99	F
1254	16	clip	104	F
1284	12	clip	51	R
1308	12	clip	55	F
1328	8	clip	120	mono
1346	12	clip	72	F
1366	12	clip	76	F
1388	12	clip	4	F
1410	12	clip	59	F
1430	12	clip	60	F
1450	8	clip	90	F
1470	8	clip	91	F
1488	12	clip	1	R
1514	8	clip	34	F
