onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	68	X
54	8	clip	86	F
70	8	clip	85	R
86	16	clip	105	F
118	8	clip	116	mono
142	12	clip	56	F
164	16	clip	111	F
188	16	clip	98	F
212	12	clip	18	F
232	12	clip	64	F
252	8	clip	118	mono
268	12	clip	33	X
290	12	clip	70	X
316	12	clip	35	F
338	8	clip	124	mono
354	12	clip	16	F
374	12	clip	77	F
394	8	clip	128	mono
412	12	clip	52	R
432	8	clip	127	mono
454	8	clip	93	F
470	48	Go_NoGo	-1	Go_NoGo
526	12	clip	14	F
550	8	clip	119	mono
566	16	clip	103	R
592	8	clip	117	mono
612	12	clip	71	F
634	12	clip	67	F
662	8	clip	84	F
686	8	clip	94	F
708	8	clip	13	F
732	12	clip	24	F
752	8	clip	27	F
768	8	clip	26	R
788	12	clip	12	F
808	12	clip	20	F
834	12	clip	62	F
858	8	clip	3	F
874	16	clip	108	X
902	12	clip	75	X
922	8	clip	31	R
944	12	clip	66	F
966	8	clip	45	F
984	48	Go_NoGo	-1	Go_NoGo
1040	16	clip	110	F
1070	12	clip	57	R
1090	12	clip	79	F
1116	12	clip	74	X
1138	12	clip	41	X
1162	12	clip	53	F
1186	8	clip	15	R
1202	12	clip	46	F
1228	16	clip	107	F
1252	8	clip	81	F
1272	12	clip	37	F
1300	8	clip	36	F
1318	16	clip	100	R
1344	8	clip	92	F
1362	12	clip	11	F
1390	8	clip	113	mono
1408	12	clip	7	F
1428	8	clip	89	F
1446	12	clip	28	R
1466	12	clip	47	F
1488	12	clip	65	F
1516	12	clip	9	F
