onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	11	F
56	8	clip	119	mono
74	16	clip	102	R
100	12	clip	92	F
120	16	clip	112	F
150	12	clip	27	F
170	8	clip	46	F
190	8	clip	19	F
214	16	clip	98	F
246	8	clip	125	mono
262	8	clip	54	F
278	8	clip	60	R
294	8	clip	61	F
314	8	clip	50	F
332	16	clip	108	F
360	12	clip	31	R
382	16	clip	106	F
406	12	clip	95	R
430	8	clip	42	F
446	8	clip	52	F
470	12	clip	96	F
492	48	Go_NoGo	-1	Go_NoGo
548	8	clip	4	F
566	8	clip	5	F
582	8	clip	114	mono
598	12	clip	67	F
620	12	clip	34	R
648	8	clip	16	X
664	12	clip	7	F
686	12	clip	43	F
714	12	clip	73	F
734	12	clip	9	F
758	12	clip	48	R
780	12	clip	86	R
800	12	clip	8	R
824	8	clip	126	mono
844	8	clip	58	F
866	12	clip	25	F
886	12	clip	77	R
906	8	clip	116	mono
922	12	clip	74	X
942	16	clip	109	X
968	8	clip	35	R
986	48	Go_NoGo	-1	Go_NoGo
1042	12	clip	30	R
1068	12	clip	75	R
1094	8	clip	59	F
1110	8	clip	56	F
1128	12	clip	37	F
1148	12	clip	91	R
1172	12	clip	1	R
1194	12	clip	71	R
1222	16	clip	99	R
1246	12	clip	72	R
1274	12	clip	12	X
1294	12	clip	68	F
1316	12	clip	78	F
1338	12	clip	82	F
1358	8	clip	123	mono
1380	12	clip	20	F
1400	12	clip	39	F
1426	8	clip	113	mono
1444	16	clip	110	F
1468	12	clip	94	F
1494	12	clip	32	R
1514	8	clip	122	mono
