onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	2	F
54	8	clip	51	F
70	12	clip	33	R
90	8	clip	124	mono
108	12	clip	69	F
128	16	clip	111	F
160	16	clip	105	F
186	12	clip	89	F
212	12	clip	13	F
240	8	clip	22	R
256	12	clip	80	X
280	12	clip	88	R
302	8	clip	14	F
320	16	clip	100	R
344	8	clip	55	F
362	12	clip	29	F
384	12	clip	15	R
406	16	clip	107	F
434	12	clip	90	F
454	8	clip	127	mono
472	8	clip	63	F
496	48	Go_NoGo	-1	Go_NoGo
552	8	clip	118	mono
568	12	clip	38	F
594	12	clip	18	F
616	12	clip	36	F
638	16	clip	97	R
662	8	clip	23	F
686	12	clip	83	F
708	8	clip	53	R
724	8	clip	117	mono
740	12	clip	79	F
766	8	clip	44	F
784	12	clip	81	R
804	12	clip	93	F
832	16	clip	101	R
862	8	clip	49	R
884	12	clip	70	F
904	12	clip	26	F
924	12	clip	40	F
944	12	clip	76	R
964	8	clip	115	mono
988	12	clip	21	F
1008	48	Go_NoGo	-1	Go_NoGo
1064	8	clip	10	F
1080	8	clip	17	F
1102	12	clip	45	R
1122	8	clip	6	R
1142	16	clip	103	R
1166	12	clip	85	R
1188	12	clip	66	F
1212	12	clip	41	R
1240	8	clip	120	mono
1260	12	clip	65	F
1282	12	clip	47	F
1308	12	clip	87	F
1328	12	clip	84	F
1356	8	clip	62	F
1372	16	clip	104	F
1398	8	clip	57	F
1418	8	clip	64	F
1436	8	clip	128	mono
1458	12	clip	3	F
1482	8	clip	28	R
1498	8	clip	121	mono
1514	12	clip	24	F
