onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	80	R
56	8	clip	125	mono
76	12	clip	56	R
96	12	clip	35	R
116	12	clip	42	F
138	8	clip	39	R
156	12	clip	14	F
176	8	clip	81	F
192	8	clip	89	F
208	12	clip	24	F
236	12	clip	5	R
264	8	clip	127	mono
280	12	clip	23	F
306	8	clip	3	F
322	12	clip	41	F
342	16	clip	99	R
374	12	clip	68	F
394	16	clip	102	X
422	8	clip	48	F
438	12	clip	6	R
460	12	clip	64	F
484	48	Go_NoGo	-1	Go_NoGo
542	8	clip	31	R
558	12	clip	60	X
584	12	clip	51	R
606	12	clip	72	F
626	12	clip	77	R
646	12	clip	59	F
668	12	clip	38	F
690	12	clip	54	R
710	8	clip	84	F
730	16	clip	107	F
754	16	clip	101	R
780	8	clip	88	R
804	8	clip	119	mono
828	8	clip	122	mono
846	8	clip	87	F
862	12	clip	79	R
884	8	clip	95	R
902	12	clip	4	R
926	8	clip	27	R
944	8	clip	114	mono
960	8	clip	40	R
982	48	Go_NoGo	-1	Go_NoGo
1040	8	clip	116	mono
1062	8	clip	36	R
1082	16	clip	109	X
1108	8	clip	21	R
1132	12	clip	66	R
1158	12	clip	70	R
1182	12	clip	9	R
1202	12	clip	12	F
1224	12	clip	19	F
1244	12	clip	33	R
1264	8	clip	86	X
1286	8	clip	118	mono
1304	12	clip	7	R
1330	8	clip	124	mono
1346	12	clip	69	R
1366	12	clip	17	F
1390	16	clip	104	F
1420	12	clip	53	R
1448	8	clip	91	F
1466	16	clip	111	X
1490	16	clip	98	R
1514	12	clip	75	R
