onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	96	F
50	8	clip	126	mono
66	12	clip	20	F
90	12	clip	10	F
110	16	clip	106	F
134	12	clip	74	R
154	12	clip	22	R
174	16	clip	103	R
202	8	clip	29	F
222	8	clip	26	R
238	12	clip	25	R
260	8	clip	121	mono
276	8	clip	13	F
294	8	clip	85	R
312	8	clip	90	F
334	12	clip	49	F
358	16	clip	108	F
384	12	clip	61	F
412	12	clip	8	F
434	12	clip	55	F
454	8	clip	34	F
478	48	Go_NoGo	-1	Go_NoGo
536	12	clip	16	R
556	8	clip	115	mono
576	8	clip	113	mono
600	8	clip	94	F
620	8	clip	128	mono
642	12	clip	2	F
668	8	clip	45	R
684	12	clip	65	X
708	12	clip	71	R
734	12	clip	76	X
754	8	clip	83	R
778	12	clip	46	R
798	12	clip	63	F
820	16	clip	112	F
844	16	clip	100	X
874	12	clip	47	X
902	8	clip	30	R
918	8	clip	15	R
940	12	clip	37	F
966	12	clip	62	F
988	12	clip	78	F
1010	48	Go_NoGo	-1	Go_NoGo
1068	12	clip	18	F
1088	12	clip	50	R
1108	12	clip	58	R
1136	12	clip	67	F
1156	12	clip	73	F
1178	12	clip	57	X
1204	16	clip	105	F
1228	12	clip	1	R
1252	8	clip	92	F
1268	8	clip	120	mono
1286	8	clip	82	F
1302	8	clip	93	F
1320	12	clip	52	R
1340	12	clip	44	F
1362	8	clip	32	R
1380	12	clip	28	R
1408	12	clip	43	X
1430	16	clip	97	F
1462	8	clip	117	mono
1478	12	clip	11	R
1498	16	clip	110	F
1524	8	clip	123	mono
