onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	71	R
54	16	clip	101	R
78	12	clip	74	R
98	8	clip	36	R
120	8	clip	32	R
136	16	clip	102	R
164	12	clip	62	R
192	16	clip	108	R
218	12	clip	37	R
238	8	clip	116	mono
254	8	clip	39	R
274	8	clip	119	mono
292	12	clip	42	R
312	12	clip	14	R
332	8	clip	82	R
350	16	clip	106	F
374	16	clip	110	R
400	8	clip	13	R
416	12	clip	76	R
436	12	clip	72	R
456	8	clip	126	mono
478	12	clip	44	R
500	12	clip	12	R
526	12	clip	49	R
554	8	clip	45	R
578	12	clip	54	R
598	12	clip	75	R
622	8	clip	86	R
642	12	clip	46	R
666	16	clip	104	R
690	12	clip	66	R
714	12	clip	41	R
736	48	Go_NoGo	-1	Go_NoGo
792	8	clip	88	F
814	8	clip	123	mono
832	12	clip	61	R
852	12	clip	53	R
874	8	clip	85	R
890	12	clip	58	R
912	8	clip	93	F
928	12	clip	2	R
952	12	clip	7	R
972	8	clip	30	R
990	8	clip	122	mono
1010	8	clip	96	R
1026	12	clip	16	F
1052	8	clip	95	R
1070	12	clip	56	R
1096	8	clip	118	mono
1112	12	clip	51	R
1134	12	clip	70	R
1160	8	clip	40	R
1176	16	clip	105	R
1206	16	clip	112	R
1238	12	clip	47	X
1260	12	clip	6	R
1280	12	clip	20	F
1308	12	clip	10	R
1330	8	clip	34	R
1348	12	clip	23	R
1368	12	clip	52	R
1390	8	clip	83	R
1414	8	clip	128	mono
1430	8	clip	121	mono
1454	12	clip	43	F
