onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	83	F
58	8	clip	73	F
74	12	clip	40	F
96	12	clip	11	F
122	12	clip	54	F
146	12	clip	82	X
166	8	clip	37	F
188	8	clip	72	F
212	8	clip	66	F
232	16	clip	98	F
264	8	clip	7	F
280	12	clip	89	F
300	12	clip	57	F
322	8	clip	24	F
338	16	clip	111	F
366	16	clip	110	F
392	8	clip	124	mono
414	8	clip	68	F
432	12	clip	81	F
454	12	clip	15	F
474	12	clip	10	F
494	48	Go_NoGo	-1	Go_NoGo
552	12	clip	32	F
572	12	clip	23	F
596	12	clip	96	F
622	12	clip	35	F
644	8	clip	80	F
660	8	clip	79	F
676	8	clip	125	mono
700	12	clip	14	F
724	16	clip	112	F
748	12	clip	26	R
768	8	clip	75	F
790	16	clip	103	F
816	16	clip	107	F
846	8	clip	12	F
866	8	clip	43	F
884	12	clip	94	F
904	12	clip	59	F
924	12	clip	13	F
946	12	clip	61	F
974	16	clip	106	F
998	12	clip	36	R
1018	48	Go_NoGo	-1	Go_NoGo
1076	12	clip	3	F
1098	16	clip	97	F
1122	8	clip	122	mono
1140	12	clip	88	F
1162	12	clip	92	F
1190	8	clip	2	F
1206	8	clip	118	mono
1224	8	clip	119	mono
1240	8	clip	9	F
1258	8	clip	120	mono
1274	12	clip	28	R
1294	12	clip	48	F
1322	12	clip	58	F
1342	8	clip	76	F
1360	12	clip	56	F
1382	8	clip	8	F
1406	8	clip	115	mono
1422	8	clip	127	mono
1442	12	clip	17	F
1468	12	clip	5	F
1496	12	clip	93	F
1522	12	clip	85	F
