onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	31	R
58	12	clip	87	F
80	8	clip	69	F
100	8	clip	67	F
122	16	clip	101	F
150	12	clip	90	R
174	12	clip	50	R
196	12	clip	46	X
218	12	clip	22	F
238	12	clip	51	R
258	8	clip	128	mono
280	8	clip	77	F
304	12	clip	63	F
330	16	clip	102	R
356	12	clip	27	F
378	8	clip	123	mono
394	8	clip	1	F
416	12	clip	95	F
436	8	clip	78	F
452	12	clip	62	F
478	12	clip	44	F
506	48	Go_NoGo	-1	Go_NoGo
564	8	clip	126	mono
582	12	clip	45	R
610	8	clip	113	mono
626	12	clip	49	F
654	12	clip	39	F
676	8	clip	74	F
694	12	clip	91	F
714	16	clip	104	X
746	12	clip	30	R
766	12	clip	19	F
792	16	clip	100	R
816	16	clip	99	F
840	12	clip	52	F
860	12	clip	60	F
880	16	clip	108	F
906	16	clip	109	F
936	12	clip	29	F
958	12	clip	53	R
980	8	clip	25	F
996	8	clip	38	F
1014	8	clip	33	X
1034	48	Go_NoGo	-1	Go_NoGo
1092	12	clip	42	F
1118	8	clip	65	F
1136	12	clip	4	F
1156	12	clip	6	R
1180	12	clip	21	F
1200	8	clip	114	mono
1218	12	clip	16	F
1238	8	clip	121	mono
1262	8	clip	18	F
1280	8	clip	116	mono
1296	8	clip	70	F
1312	12	clip	34	X
1332	12	clip	86	X
1360	12	clip	64	F
1380	8	clip	117	mono
1400	16	clip	105	F
1424	8	clip	20	F
1440	8	clip	47	F
1456	8	clip	71	F
1472	12	clip	55	F
1494	12	clip	84	F
1518	8	clip	41	F
