onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	16	clip	110	F
58	8	clip	14	F
76	12	clip	80	F
104	16	clip	107	F
130	8	clip	11	X
146	12	clip	25	F
168	8	clip	42	F
184	8	clip	119	mono
202	8	clip	62	F
218	12	clip	18	F
244	16	clip	98	F
268	8	clip	23	F
292	16	clip	97	F
318	8	clip	58	R
342	8	clip	117	mono
358	8	clip	35	F
380	12	clip	41	F
406	8	clip	53	F
426	12	clip	72	F
448	12	clip	94	F
468	12	clip	73	F
490	48	Go_NoGo	-1	Go_NoGo
546	12	clip	70	X
570	12	clip	78	F
594	12	clip	76	F
614	12	clip	96	F
636	12	clip	48	F
658	12	clip	71	X
678	8	clip	127	mono
700	12	clip	40	F
728	16	clip	104	F
760	12	clip	1	F
780	12	clip	24	F
800	12	clip	31	X
820	8	clip	128	mono
836	12	clip	88	F
856	8	clip	55	F
874	12	clip	36	F
894	12	clip	33	F
922	12	clip	75	F
944	12	clip	90	X
964	12	clip	3	F
986	8	clip	124	mono
1002	48	Go_NoGo	-1	Go_NoGo
1058	12	clip	65	F
1084	12	clip	86	F
1110	12	clip	92	F
1138	12	clip	9	F
1158	12	clip	37	F
1180	8	clip	115	mono
1200	16	clip	103	R
1224	8	clip	122	mono
1248	8	clip	60	F
1266	8	clip	49	R
1282	12	clip	15	F
1302	8	clip	28	R
1322	8	clip	10	F
1338	12	clip	81	F
1358	12	clip	12	R
1382	8	clip	17	F
1400	8	clip	50	X
1422	16	clip	101	F
1452	16	clip	99	R
1480	8	clip	52	F
1496	8	clip	121	mono
1514	12	clip	7	F
