onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	64	F
50	16	clip	111	F
76	12	clip	83	X
102	12	clip	87	R
130	8	clip	120	mono
150	12	clip	68	F
170	8	clip	125	mono
192	8	clip	114	mono
210	8	clip	44	F
226	8	clip	6	F
248	8	clip	59	F
264	12	clip	84	R
284	12	clip	45	F
304	8	clip	57	F
322	12	clip	38	F
342	12	clip	74	F
364	12	clip	20	F
392	8	clip	126	mono
410	12	clip	21	F
430	8	clip	123	mono
446	16	clip	108	F
474	48	Go_NoGo	-1	Go_NoGo
530	12	clip	39	F
558	8	clip	118	mono
582	16	clip	100	F
614	12	clip	13	F
634	12	clip	82	F
658	12	clip	26	F
684	8	clip	54	R
704	8	clip	22	F
724	8	clip	56	F
740	12	clip	91	F
760	12	clip	95	R
782	12	clip	2	F
802	12	clip	27	F
828	12	clip	67	F
848	16	clip	102	F
872	16	clip	109	F
896	12	clip	66	F
918	8	clip	63	F
936	8	clip	116	mono
952	12	clip	77	F
980	12	clip	89	F
1002	48	Go_NoGo	-1	Go_NoGo
1058	8	clip	61	F
1080	8	clip	46	F
1098	8	clip	51	R
1122	12	clip	85	R
1142	8	clip	4	F
1158	16	clip	105	F
1184	12	clip	29	F
1206	12	clip	43	F
1230	8	clip	113	mono
1246	12	clip	30	F
1266	12	clip	69	F
1292	12	clip	32	F
1314	12	clip	8	R
1336	12	clip	34	F
1360	16	clip	112	F
1390	8	clip	19	F
1406	12	clip	93	F
1430	12	clip	79	F
1450	8	clip	5	F
1468	16	clip	106	F
1492	8	clip	16	F
1516	12	clip	47	F
