onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	120	mono
58	12	clip	50	R
84	8	clip	27	F
100	16	clip	112	F
124	12	clip	63	F
144	8	clip	82	F
168	12	clip	80	R
192	8	clip	92	R
210	12	clip	73	R
232	8	clip	3	F
252	8	clip	125	mono
268	8	clip	96	F
288	8	clip	113	mono
306	12	clip	11	R
328	12	clip	77	R
350	12	clip	35	R
370	8	clip	31	R
388	12	clip	10	R
416	12	clip	7	X
440	8	clip	118	mono
462	12	clip	57	F
484	48	Go_NoGo	-1	Go_NoGo
540	12	clip	28	R
568	12	clip	20	F
588	16	clip	103	R
618	12	clip	41	R
638	8	clip	122	mono
654	8	clip	40	F
672	12	clip	70	R
692	12	clip	5	R
718	16	clip	105	R
742	12	clip	67	F
762	16	clip	108	R
788	16	clip	98	F
820	12	clip	66	R
848	8	clip	30	R
872	12	clip	62	F
892	12	clip	12	F
914	12	clip	9	R
934	8	clip	116	mono
954	8	clip	34	R
976	16	clip	104	R
1004	12	clip	8	R
1024	48	Go_NoGo	-1	Go_NoGo
1080	8	clip	84	F
1096	16	clip	99	R
1120	12	clip	53	R
1148	8	clip	85	R
1170	16	clip	110	F
1196	12	clip	74	R
1220	12	clip	68	R
1246	8	clip	88	R
1262	8	clip	119	mono
1278	12	clip	1	R
1302	8	clip	95	R
1320	8	clip	117	mono
1338	12	clip	17	F
1364	12	clip	75	R
1386	12	clip	24	F
1406	12	clip	51	R
1426	8	clip	39	F
1442	12	clip	64	F
1462	8	clip	36	F
1478	12	clip	44	F
1500	8	clip	87	R
1516	12	clip	22	R
