onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	72	F
54	8	clip	86	F
72	12	clip	2	F
98	8	clip	114	mono
122	12	clip	58	R
144	16	clip	107	F
168	12	clip	38	F
196	8	clip	45	R
212	8	clip	13	F
232	16	clip	101	F
258	8	clip	32	R
276	8	clip	89	F
292	12	clip	19	X
316	8	clip	128	mono
338	12	clip	56	R
360	12	clip	16	R
380	12	clip	43	R
400	12	clip	49	F
420	12	clip	47	F
442	12	clip	18	F
462	8	clip	21	F
484	48	Go_NoGo	-1	Go_NoGo
540	12	clip	60	F
566	16	clip	102	R
596	12	clip	25	F
616	12	clip	79	F
644	8	clip	127	mono
660	8	clip	83	R
678	8	clip	15	R
702	12	clip	6	X
724	12	clip	61	R
750	8	clip	126	mono
766	8	clip	94	F
782	8	clip	91	R
806	16	clip	111	R
832	12	clip	33	R
852	12	clip	37	F
874	12	clip	55	F
898	8	clip	93	F
914	16	clip	106	F
938	8	clip	123	mono
956	8	clip	121	mono
974	12	clip	4	R
994	48	Go_NoGo	-1	Go_NoGo
1050	12	clip	14	F
1078	12	clip	42	F
1104	12	clip	46	F
1128	8	clip	124	mono
1144	12	clip	52	R
1166	12	clip	65	F
1186	8	clip	29	F
1202	12	clip	23	F
1224	16	clip	97	F
1248	12	clip	78	R
1270	8	clip	26	R
1286	12	clip	54	R
1306	8	clip	48	F
1324	12	clip	71	F
1344	12	clip	69	F
1368	12	clip	76	R
1388	16	clip	109	X
1416	12	clip	59	F
1444	8	clip	90	R
1464	8	clip	115	mono
1484	16	clip	100	R
1516	8	clip	81	R
