onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	63	F
54	8	clip	128	mono
70	8	clip	118	mono
90	12	clip	65	F
110	8	clip	40	F
128	8	clip	114	mono
146	12	clip	69	F
174	8	clip	48	F
198	12	clip	17	F
218	8	clip	31	R
238	16	clip	103	R
262	12	clip	2	F
282	12	clip	62	F
310	8	clip	126	mono
334	12	clip	68	R
358	12	clip	4	F
382	12	clip	71	F
408	12	clip	74	X
430	8	clip	96	F
448	8	clip	117	mono
464	12	clip	61	F
490	48	Go_NoGo	-1	Go_NoGo
546	12	clip	19	F
568	16	clip	105	F
598	12	clip	37	F
622	12	clip	50	F
642	16	clip	99	R
668	8	clip	13	F
690	12	clip	42	F
712	12	clip	23	F
738	12	clip	80	F
760	12	clip	28	R
780	8	clip	88	F
800	12	clip	22	F
828	16	clip	97	F
852	8	clip	119	mono
868	12	clip	56	F
892	12	clip	75	F
912	12	clip	5	F
934	12	clip	18	F
962	12	clip	54	F
982	8	clip	91	F
998	16	clip	100	F
1022	48	Go_NoGo	-1	Go_NoGo
1078	8	clip	92	F
1102	8	clip	84	F
1118	12	clip	52	F
1140	8	clip	90	F
1156	8	clip	36	R
1172	8	clip	26	R
1190	8	clip	87	F
1212	12	clip	14	F
1234	16	clip	98	F
1262	8	clip	122	mono
1284	12	clip	47	F
1310	8	clip	15	F
1326	8	clip	30	F
1342	12	clip	78	F
1364	12	clip	8	F
1384	8	clip	95	F
1402	16	clip	107	F
1434	12	clip	67	F
1454	12	clip	24	F
1474	12	clip	33	R
1494	16	clip	102	R
1520	8	clip	113	mono
