onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	85	R
50	12	clip	53	F
70	12	clip	46	F
96	8	clip	27	F
120	12	clip	20	F
142	12	clip	16	R
162	8	clip	115	mono
180	8	clip	29	F
196	8	clip	121	mono
212	8	clip	21	F
228	8	clip	81	F
252	16	clip	110	F
278	16	clip	109	F
306	12	clip	72	F
326	12	clip	10	F
346	8	clip	94	F
364	8	clip	125	mono
388	8	clip	32	R
408	16	clip	108	F
432	12	clip	77	F
452	12	clip	1	R
480	48	Go_NoGo	-1	Go_NoGo
536	12	clip	35	R
556	16	clip	104	F
580	12	clip	58	F
606	8	clip	3	F
628	12	clip	7	F
650	12	clip	41	F
670	8	clip	116	mono
686	12	clip	66	F
708	12	clip	11	F
730	12	clip	79	F
752	8	clip	93	X
770	8	clip	86	F
790	12	clip	60	X
818	8	clip	45	F
836	12	clip	44	F
860	12	clip	59	F
882	8	clip	83	F
904	8	clip	127	mono
926	8	clip	82	F
942	8	clip	34	F
960	12	clip	12	F
982	48	Go_NoGo	-1	Go_NoGo
1038	12	clip	73	F
1058	8	clip	123	mono
1076	12	clip	49	F
1096	16	clip	111	R
1122	16	clip	101	F
1154	8	clip	89	F
1170	12	clip	38	F
1190	12	clip	43	F
1214	16	clip	106	F
1244	12	clip	6	F
1264	16	clip	112	F
1288	8	clip	120	mono
1304	12	clip	64	F
1326	12	clip	70	F
1350	8	clip	39	F
1366	12	clip	25	F
1392	12	clip	57	F
1416	12	clip	51	R
1442	12	clip	76	F
1470	8	clip	124	mono
1490	12	clip	55	F
1510	12	clip	9	F
