onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	90	R
50	12	clip	38	R
76	12	clip	25	R
104	16	clip	97	R
128	12	clip	59	R
150	12	clip	5	F
170	12	clip	17	F
190	12	clip	22	X
216	12	clip	65	F
244	8	clip	21	F
268	16	clip	100	R
296	8	clip	115	mono
312	12	clip	19	R
334	12	clip	28	R
358	8	clip	29	F
376	12	clip	67	F
396	12	clip	68	R
418	12	clip	18	R
438	8	clip	27	R
454	12	clip	80	F
474	12	clip	33	R
494	8	clip	127	mono
510	8	clip	87	F
526	12	clip	79	R
550	8	clip	89	F
568	16	clip	99	R
592	8	clip	31	X
608	8	clip	113	mono
624	8	clip	120	mono
648	12	clip	60	R
672	12	clip	50	R
692	8	clip	94	F
708	48	Go_NoGo	-1	Go_NoGo
764	12	clip	57	R
790	12	clip	1	R
812	12	clip	69	R
834	8	clip	117	mono
856	8	clip	84	X
876	12	clip	24	F
904	12	clip	73	R
932	8	clip	15	R
954	16	clip	109	F
980	8	clip	124	mono
998	12	clip	11	R
1022	12	clip	4	R
1044	12	clip	64	R
1066	8	clip	26	R
1082	12	clip	77	R
1102	8	clip	81	R
1126	12	clip	35	R
1148	8	clip	3	F
1166	8	clip	92	R
1184	12	clip	8	R
1204	16	clip	98	R
1230	12	clip	63	F
1256	12	clip	78	F
1276	16	clip	111	R
1300	16	clip	103	R
1332	8	clip	48	F
1352	8	clip	125	mono
1370	12	clip	9	F
1390	12	clip	55	F
1410	8	clip	91	R
1432	16	clip	107	F
1462	8	clip	114	mono
