onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	37	F
58	8	clip	27	F
74	8	clip	31	F
90	8	clip	121	mono
106	16	clip	104	R
130	8	clip	90	X
146	12	clip	22	F
166	8	clip	123	mono
188	8	clip	85	R
204	8	clip	39	F
220	16	clip	99	R
246	16	clip	98	F
274	8	clip	84	F
294	12	clip	47	F
318	12	clip	17	F
338	12	clip	10	F
364	12	clip	12	R
392	12	clip	75	R
420	16	clip	106	F
450	8	clip	125	mono
468	8	clip	87	F
492	48	Go_NoGo	-1	Go_NoGo
550	12	clip	72	F
570	12	clip	2	F
592	12	clip	78	F
616	12	clip	5	F
636	8	clip	124	mono
652	12	clip	28	R
674	12	clip	66	F
694	8	clip	13	F
712	12	clip	44	X
732	12	clip	49	F
752	16	clip	97	F
776	8	clip	15	R
796	16	clip	111	F
822	12	clip	14	F
842	8	clip	83	F
858	12	clip	54	F
884	12	clip	6	F
910	8	clip	117	mono
934	8	clip	120	mono
954	12	clip	20	F
976	12	clip	79	F
996	48	Go_NoGo	-1	Go_NoGo
1054	12	clip	51	F
1076	8	clip	92	F
1094	12	clip	57	F
1120	12	clip	74	R
1142	12	clip	35	R
1164	8	clip	45	R
1182	12	clip	68	F
1202	12	clip	70	F
1230	16	clip	110	F
1262	16	clip	101	R
1286	8	clip	91	F
1304	12	clip	62	F
1324	12	clip	23	F
1344	12	clip	65	F
1368	12	clip	52	R
1390	12	clip	58	R
1412	8	clip	128	mono
1430	8	clip	82	R
1452	12	clip	38	F
1480	8	clip	32	R
1504	8	clip	126	mono
1520	8	clip	40	R
