onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	94	F
50	12	clip	73	F
72	12	clip	59	F
96	12	clip	63	F
116	8	clip	113	mono
140	12	clip	41	F
162	12	clip	8	F
182	8	clip	48	F
200	8	clip	36	F
216	16	clip	107	F
242	12	clip	69	F
270	12	clip	18	F
290	8	clip	88	F
308	12	clip	9	F
330	8	clip	96	F
350	16	clip	105	F
382	16	clip	103	X
408	12	clip	7	F
434	12	clip	71	R
454	8	clip	114	mono
470	12	clip	55	F
492	48	Go_NoGo	-1	Go_NoGo
550	12	clip	61	F
576	12	clip	80	R
598	12	clip	33	F
620	8	clip	119	mono
636	8	clip	118	mono
654	12	clip	67	F
678	8	clip	95	R
696	12	clip	64	F
722	12	clip	46	R
750	16	clip	108	F
774	8	clip	29	F
790	12	clip	60	F
810	12	clip	50	R
830	12	clip	76	R
850	8	clip	3	F
868	16	clip	112	F
898	8	clip	21	F
922	8	clip	93	F
944	8	clip	86	F
960	16	clip	102	R
984	12	clip	19	X
1004	48	Go_NoGo	-1	Go_NoGo
1062	12	clip	53	R
1090	8	clip	81	F
1114	12	clip	77	F
1134	12	clip	56	F
1156	12	clip	4	F
1176	12	clip	43	F
1200	16	clip	100	R
1228	8	clip	127	mono
1248	16	clip	109	F
1272	12	clip	11	X
1292	12	clip	42	F
1316	8	clip	115	mono
1334	12	clip	25	F
1362	8	clip	34	F
1384	12	clip	16	F
1410	8	clip	116	mono
1426	12	clip	1	R
1448	8	clip	26	F
1468	8	clip	122	mono
1490	8	clip	89	F
1506	8	clip	30	R
1522	12	clip	24	F
