onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	120	mono
58	12	clip	57	F
78	12	clip	22	R
102	16	clip	102	F
128	8	clip	128	mono
146	12	clip	91	F
166	8	clip	67	F
186	16	clip	106	F
210	12	clip	93	F
232	12	clip	3	F
254	16	clip	104	F
286	8	clip	118	mono
302	8	clip	12	F
318	12	clip	95	F
340	12	clip	26	R
360	12	clip	48	F
386	8	clip	33	F
406	8	clip	79	F
424	8	clip	25	F
442	12	clip	30	R
470	12	clip	60	F
494	12	clip	19	F
514	12	clip	29	F
534	12	clip	84	F
558	16	clip	111	F
588	8	clip	80	F
610	12	clip	64	F
638	12	clip	56	F
658	12	clip	86	F
684	8	clip	47	X
700	12	clip	83	F
722	8	clip	123	mono
740	48	Go_NoGo	-1	Go_NoGo
796	8	clip	74	F
814	12	clip	61	F
836	16	clip	108	F
860	12	clip	34	F
880	8	clip	37	F
902	8	clip	65	F
918	16	clip	101	F
944	8	clip	1	F
960	8	clip	75	F
976	12	clip	89	F
996	12	clip	23	F
1016	12	clip	92	X
1044	8	clip	78	F
1060	8	clip	68	F
1084	8	clip	119	mono
1100	16	clip	98	F
1128	16	clip	97	F
1152	8	clip	116	mono
1174	12	clip	14	F
1196	8	clip	113	mono
1212	12	clip	35	F
1240	12	clip	52	F
1260	12	clip	54	F
1280	8	clip	117	mono
1300	12	clip	17	F
1322	12	clip	10	F
1346	8	clip	38	F
1370	12	clip	62	F
1396	12	clip	40	X
1422	12	clip	39	F
1444	8	clip	9	F
1462	12	clip	36	F
