onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	125	mono
50	12	clip	5	F
78	8	clip	126	mono
98	12	clip	49	F
120	8	clip	114	mono
144	12	clip	87	F
166	8	clip	121	mono
182	16	clip	112	F
212	16	clip	99	R
236	16	clip	109	F
262	12	clip	31	F
282	12	clip	58	R
302	12	clip	82	R
326	8	clip	77	F
342	12	clip	88	R
368	12	clip	50	F
388	8	clip	43	F
404	8	clip	76	X
420	8	clip	69	R
442	16	clip	107	X
466	8	clip	71	F
486	8	clip	124	mono
508	8	clip	115	mono
526	8	clip	72	F
544	16	clip	100	R
570	8	clip	73	F
588	12	clip	55	F
608	16	clip	110	F
636	12	clip	94	F
658	12	clip	81	F
678	12	clip	42	F
698	12	clip	90	R
726	48	Go_NoGo	-1	Go_NoGo
782	12	clip	13	F
802	12	clip	21	F
826	8	clip	8	F
842	16	clip	105	F
866	12	clip	85	R
888	12	clip	11	F
910	8	clip	2	F
928	12	clip	46	F
952	12	clip	44	F
980	12	clip	63	F
1008	12	clip	96	F
1034	12	clip	27	F
1054	8	clip	41	F
1074	8	clip	70	R
1098	8	clip	66	F
1114	12	clip	32	F
1136	8	clip	127	mono
1154	8	clip	7	F
1172	8	clip	20	F
1196	12	clip	4	F
1222	12	clip	45	F
1242	12	clip	15	F
1264	12	clip	53	F
1284	12	clip	51	F
1308	12	clip	28	F
1334	8	clip	18	F
1356	12	clip	6	X
1378	8	clip	122	mono
1394	16	clip	103	R
1426	8	clip	24	F
1442	12	clip	59	F
1462	12	clip	16	R
