onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	4	F
50	12	clip	73	F
70	12	clip	74	X
92	16	clip	107	F
118	16	clip	97	F
146	8	clip	63	F
164	16	clip	108	F
190	8	clip	62	F
206	16	clip	109	F
230	12	clip	48	F
256	8	clip	122	mono
272	12	clip	71	R
300	8	clip	115	mono
324	12	clip	12	R
348	12	clip	77	R
376	12	clip	25	R
396	12	clip	90	F
422	8	clip	52	F
438	12	clip	69	R
460	12	clip	21	F
482	8	clip	23	F
506	48	Go_NoGo	-1	Go_NoGo
564	12	clip	65	F
588	12	clip	34	R
608	8	clip	57	F
624	12	clip	2	F
644	8	clip	120	mono
660	12	clip	86	F
686	8	clip	55	F
710	12	clip	96	F
730	12	clip	81	F
750	16	clip	103	R
774	12	clip	7	F
794	12	clip	76	R
814	8	clip	123	mono
832	12	clip	15	F
860	8	clip	42	F
878	8	clip	117	mono
894	12	clip	36	R
916	8	clip	44	F
936	8	clip	54	F
954	12	clip	75	F
974	8	clip	46	F
992	48	Go_NoGo	-1	Go_NoGo
1050	12	clip	92	F
1074	8	clip	116	mono
1092	8	clip	113	mono
1114	12	clip	27	X
1136	12	clip	26	R
1160	8	clip	28	R
1176	8	clip	53	R
1198	12	clip	31	R
1218	12	clip	18	X
1246	12	clip	8	R
1268	8	clip	6	R
1290	8	clip	127	mono
1310	12	clip	91	F
1332	8	clip	60	F
1352	12	clip	3	F
1372	8	clip	10	F
1388	12	clip	72	F
1408	16	clip	111	R
1438	12	clip	88	R
1460	16	clip	106	F
1492	16	clip	112	R
1516	12	clip	9	F
