onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	114	mono
50	12	clip	71	F
74	8	clip	29	F
90	8	clip	116	mono
106	12	clip	22	F
126	12	clip	77	F
154	8	clip	85	R
172	8	clip	123	mono
192	12	clip	73	F
220	8	clip	87	F
240	12	clip	69	F
262	12	clip	57	F
282	8	clip	93	F
298	12	clip	44	F
326	8	clip	32	F
342	12	clip	41	F
364	12	clip	37	F
384	16	clip	112	F
410	12	clip	4	F
430	12	clip	12	F
450	8	clip	30	F
470	48	Go_NoGo	-1	Go_NoGo
526	8	clip	34	F
548	16	clip	107	F
572	12	clip	53	F
596	12	clip	65	F
616	8	clip	127	mono
638	8	clip	119	mono
656	12	clip	61	F
682	16	clip	109	F
706	16	clip	110	F
738	8	clip	121	mono
762	12	clip	51	R
782	16	clip	100	R
812	12	clip	38	F
834	12	clip	75	R
854	12	clip	74	F
876	8	clip	94	F
898	12	clip	17	F
918	8	clip	26	F
936	8	clip	48	F
960	12	clip	43	F
982	12	clip	66	F
1002	48	Go_NoGo	-1	Go_NoGo
1058	12	clip	49	F
1080	8	clip	84	F
1104	12	clip	59	F
1126	12	clip	60	F
1146	12	clip	18	F
1168	12	clip	42	F
1194	8	clip	125	mono
1210	12	clip	7	F
1238	12	clip	47	F
1262	16	clip	102	F
1288	8	clip	13	F
1304	12	clip	9	F
1328	16	clip	104	F
1352	8	clip	83	F
1370	8	clip	39	F
1388	8	clip	82	F
1404	12	clip	25	F
1424	12	clip	24	F
1450	8	clip	92	F
1466	12	clip	78	F
1492	16	clip	105	F
1520	8	clip	120	mono
