onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	16	clip	97	F
64	8	clip	117	mono
80	12	clip	62	F
100	12	clip	64	F
120	12	clip	8	F
146	12	clip	70	F
166	8	clip	81	F
190	12	clip	52	F
212	8	clip	91	F
228	12	clip	72	F
254	8	clip	15	F
278	16	clip	108	F
306	16	clip	106	F
332	16	clip	111	F
364	12	clip	68	F
386	8	clip	3	F
404	12	clip	16	F
424	12	clip	2	F
446	12	clip	55	F
472	12	clip	54	F
496	12	clip	1	F
516	48	Go_NoGo	-1	Go_NoGo
572	12	clip	67	F
594	8	clip	115	mono
610	16	clip	103	R
634	8	clip	126	mono
650	12	clip	5	F
676	12	clip	63	F
696	16	clip	98	F
720	12	clip	80	F
740	8	clip	88	F
756	8	clip	95	F
772	12	clip	33	F
792	8	clip	122	mono
816	8	clip	86	F
834	8	clip	124	mono
852	12	clip	20	F
872	12	clip	46	F
894	8	clip	45	F
914	8	clip	27	F
930	12	clip	35	F
954	8	clip	96	F
972	8	clip	40	F
990	48	Go_NoGo	-1	Go_NoGo
1046	8	clip	118	mono
1068	8	clip	31	F
1090	8	clip	128	mono
1110	12	clip	23	F
1132	8	clip	113	mono
1150	12	clip	58	F
1178	12	clip	11	F
1206	12	clip	50	F
1234	12	clip	79	F
1258	8	clip	21	F
1274	16	clip	101	F
1300	12	clip	28	F
1320	12	clip	76	F
1342	8	clip	90	F
1362	12	clip	19	F
1390	12	clip	10	F
1410	12	clip	14	F
1434	16	clip	99	F
1458	8	clip	36	X
1474	8	clip	89	X
1496	12	clip	6	F
1518	12	clip	56	F
