onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	1	R
56	16	clip	97	F
80	12	clip	49	F
100	12	clip	54	F
120	12	clip	62	F
142	8	clip	41	R
158	12	clip	13	F
180	12	clip	30	R
200	12	clip	22	F
220	12	clip	44	F
240	16	clip	103	R
266	12	clip	16	R
294	16	clip	101	R
326	12	clip	40	F
350	12	clip	4	F
376	8	clip	124	mono
394	12	clip	57	F
422	12	clip	32	R
448	12	clip	53	R
468	8	clip	69	F
486	8	clip	2	F
506	48	Go_NoGo	-1	Go_NoGo
562	8	clip	76	F
582	12	clip	46	F
602	12	clip	94	F
622	8	clip	79	R
640	12	clip	64	F
660	16	clip	108	R
690	12	clip	39	R
710	12	clip	60	F
734	8	clip	74	F
756	16	clip	107	F
782	8	clip	7	F
800	8	clip	119	mono
818	12	clip	56	F
840	8	clip	37	F
858	8	clip	113	mono
880	8	clip	117	mono
896	8	clip	20	F
920	8	clip	38	X
936	12	clip	35	F
964	12	clip	14	F
986	12	clip	87	X
1008	48	Go_NoGo	-1	Go_NoGo
1064	12	clip	17	F
1084	8	clip	66	R
1100	12	clip	89	R
1124	8	clip	68	F
1140	12	clip	51	X
1166	12	clip	11	R
1190	12	clip	81	R
1218	12	clip	96	F
1240	8	clip	120	mono
1260	8	clip	77	F
1284	16	clip	111	R
1312	8	clip	123	mono
1336	12	clip	23	F
1358	12	clip	10	F
1380	8	clip	43	F
1396	12	clip	58	R
1416	8	clip	128	mono
1432	12	clip	50	F
1458	16	clip	99	R
1482	16	clip	109	F
1506	8	clip	127	mono
1522	8	clip	67	F
