onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	16	clip	102	R
60	12	clip	28	R
84	8	clip	70	R
102	8	clip	18	F
126	8	clip	33	R
146	8	clip	118	mono
162	12	clip	3	F
190	12	clip	82	F
214	16	clip	104	F
240	12	clip	36	R
266	16	clip	106	R
294	12	clip	31	R
322	12	clip	84	F
342	16	clip	98	F
374	8	clip	121	mono
392	12	clip	26	R
412	8	clip	114	mono
430	8	clip	25	F
448	8	clip	72	F
464	12	clip	19	F
486	8	clip	12	R
508	48	Go_NoGo	-1	Go_NoGo
564	8	clip	116	mono
588	8	clip	73	F
612	12	clip	92	F
634	12	clip	48	F
654	12	clip	6	F
674	8	clip	80	F
694	8	clip	65	F
710	12	clip	88	F
738	12	clip	34	F
762	12	clip	90	F
782	12	clip	93	F
802	12	clip	15	F
822	12	clip	85	R
844	16	clip	110	F
868	12	clip	91	F
890	12	clip	86	F
910	12	clip	21	F
936	12	clip	61	F
956	8	clip	75	F
974	8	clip	78	F
996	12	clip	95	F
1018	48	Go_NoGo	-1	Go_NoGo
1074	8	clip	24	F
1090	8	clip	47	F
1108	8	clip	122	mono
1130	12	clip	27	F
1152	12	clip	42	F
1174	12	clip	55	F
1194	12	clip	59	F
1218	12	clip	29	F
1238	12	clip	45	F
1258	16	clip	112	F
1288	12	clip	52	F
1314	8	clip	71	F
1330	8	clip	8	F
1346	8	clip	126	mono
1362	8	clip	9	F
1378	16	clip	100	F
1402	12	clip	63	F
1430	8	clip	115	mono
1450	16	clip	105	F
1474	12	clip	83	F
1500	12	clip	5	F
1522	8	clip	125	mono
