onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	18	F
50	8	clip	115	mono
72	8	clip	124	mono
88	12	clip	90	F
116	12	clip	62	F
136	12	clip	61	F
160	16	clip	102	R
184	16	clip	107	F
208	8	clip	72	F
232	12	clip	3	F
258	8	clip	47	F
280	12	clip	83	R
306	8	clip	25	F
322	12	clip	51	R
342	8	clip	7	F
360	12	clip	34	F
380	8	clip	65	F
396	12	clip	39	F
416	12	clip	29	F
436	12	clip	40	F
458	12	clip	14	F
482	48	Go_NoGo	-1	Go_NoGo
538	16	clip	110	F
564	8	clip	79	F
582	8	clip	122	mono
602	8	clip	121	mono
618	8	clip	117	mono
642	16	clip	101	F
672	12	clip	30	R
696	12	clip	26	X
716	8	clip	74	R
732	16	clip	108	R
760	8	clip	66	F
780	12	clip	96	F
800	8	clip	20	F
824	12	clip	56	F
850	8	clip	68	F
868	12	clip	11	F
896	12	clip	13	F
918	12	clip	15	F
946	16	clip	112	F
972	12	clip	48	F
994	12	clip	23	F
1020	48	Go_NoGo	-1	Go_NoGo
1076	12	clip	82	X
1096	12	clip	53	R
1118	16	clip	104	F
1150	8	clip	41	F
1170	8	clip	116	mono
1186	12	clip	63	F
1208	12	clip	88	F
1230	8	clip	12	R
1246	8	clip	123	mono
1264	12	clip	46	F
1284	8	clip	78	F
1306	12	clip	42	F
1328	12	clip	89	F
1352	12	clip	4	F
1372	12	clip	49	F
1394	8	clip	73	F
1410	12	clip	64	F
1430	8	clip	119	mono
1448	12	clip	50	R
1468	16	clip	109	F
1492	12	clip	52	F
1520	8	clip	1	F
