onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	57	R
56	16	clip	103	R
82	8	clip	77	R
100	8	clip	75	R
116	16	clip	106	F
140	12	clip	84	R
160	16	clip	99	R
184	8	clip	120	mono
204	12	clip	93	F
226	8	clip	37	F
242	8	clip	69	R
258	12	clip	21	F
278	16	clip	100	R
310	12	clip	6	R
332	12	clip	31	R
352	8	clip	24	F
370	12	clip	55	F
394	12	clip	19	F
416	12	clip	17	F
444	8	clip	2	F
468	12	clip	60	F
488	48	Go_NoGo	-1	Go_NoGo
544	12	clip	87	F
572	8	clip	76	F
588	12	clip	36	R
608	12	clip	91	R
636	12	clip	44	F
662	12	clip	16	F
682	12	clip	10	F
706	8	clip	43	X
722	8	clip	67	F
746	12	clip	86	F
766	12	clip	85	R
792	8	clip	125	mono
810	16	clip	98	R
834	8	clip	128	mono
858	12	clip	32	R
878	16	clip	105	F
904	12	clip	5	F
928	8	clip	8	R
950	16	clip	111	X
978	12	clip	45	F
1006	8	clip	80	F
1026	48	Go_NoGo	-1	Go_NoGo
1082	8	clip	126	mono
1104	16	clip	97	F
1134	12	clip	27	F
1156	8	clip	118	mono
1172	12	clip	59	F
1194	8	clip	71	F
1212	12	clip	92	F
1232	8	clip	114	mono
1250	8	clip	33	F
1270	12	clip	94	F
1292	12	clip	81	F
1312	12	clip	22	F
1338	12	clip	35	R
1360	8	clip	70	F
1382	8	clip	113	mono
1398	8	clip	9	F
1416	12	clip	95	F
1442	12	clip	58	R
1462	12	clip	54	F
1486	8	clip	127	mono
1502	8	clip	38	F
1518	12	clip	28	R
