onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	35	F
54	12	clip	6	R
80	8	clip	1	R
98	8	clip	116	mono
118	8	clip	120	mono
136	12	clip	50	F
156	12	clip	96	F
176	12	clip	89	R
196	16	clip	103	R
224	8	clip	37	F
240	8	clip	33	R
264	8	clip	79	R
280	8	clip	127	mono
296	12	clip	21	F
324	12	clip	39	F
344	8	clip	43	F
360	8	clip	123	mono
376	8	clip	124	mono
394	8	clip	65	F
416	12	clip	36	F
442	12	clip	16	F
464	48	Go_NoGo	-1	Go_NoGo
520	8	clip	121	mono
542	12	clip	34	F
562	12	clip	14	F
590	8	clip	76	F
608	8	clip	20	F
628	12	clip	3	F
650	16	clip	110	F
674	12	clip	60	F
696	8	clip	118	mono
720	12	clip	40	F
742	8	clip	9	F
760	12	clip	57	F
784	16	clip	107	F
816	12	clip	93	F
838	12	clip	61	F
858	16	clip	112	F
884	8	clip	66	F
900	12	clip	90	F
922	8	clip	73	F
942	8	clip	12	F
964	12	clip	46	F
984	48	Go_NoGo	-1	Go_NoGo
1040	12	clip	53	R
1068	12	clip	56	F
1096	16	clip	109	F
1120	12	clip	85	F
1142	16	clip	102	F
1166	8	clip	67	F
1190	12	clip	87	F
1216	8	clip	77	F
1232	8	clip	119	mono
1248	12	clip	28	F
1270	12	clip	59	F
1290	8	clip	8	F
1306	16	clip	106	F
1332	8	clip	72	R
1350	12	clip	5	F
1370	16	clip	99	R
1400	12	clip	83	R
1420	12	clip	45	F
1440	12	clip	29	F
1464	12	clip	32	F
1488	12	clip	92	F
1512	12	clip	88	R
