onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	55	X
58	8	clip	61	F
74	8	clip	123	mono
92	16	clip	98	X
120	12	clip	27	R
140	8	clip	57	F
158	12	clip	33	R
184	8	clip	11	F
200	12	clip	20	F
228	8	clip	4	F
248	16	clip	101	X
278	12	clip	90	F
304	16	clip	100	R
328	12	clip	15	R
350	12	clip	9	F
372	12	clip	41	R
392	12	clip	82	R
412	16	clip	99	R
444	12	clip	85	F
472	12	clip	43	F
500	12	clip	66	X
520	12	clip	91	X
542	12	clip	8	F
564	8	clip	53	R
580	12	clip	36	R
604	12	clip	69	F
624	12	clip	94	F
644	16	clip	112	F
668	16	clip	104	F
692	8	clip	126	mono
708	12	clip	48	R
728	8	clip	62	F
744	48	Go_NoGo	-1	Go_NoGo
800	12	clip	25	X
820	8	clip	121	mono
836	8	clip	35	R
860	16	clip	106	X
886	12	clip	75	R
906	8	clip	14	F
924	8	clip	127	mono
944	12	clip	71	F
972	12	clip	72	F
994	8	clip	114	mono
1016	12	clip	76	F
1040	12	clip	81	F
1060	12	clip	12	R
1086	8	clip	28	R
1102	12	clip	84	F
1124	8	clip	17	X
1142	8	clip	54	F
1162	8	clip	124	mono
1186	8	clip	63	F
1204	12	clip	80	F
1230	12	clip	65	F
1254	12	clip	21	X
1278	8	clip	5	X
1294	8	clip	122	mono
1310	12	clip	45	F
1330	12	clip	74	R
1352	8	clip	120	mono
1370	12	clip	7	F
1392	16	clip	111	R
1418	8	clip	19	R
1440	8	clip	52	F
1462	12	clip	32	F
