onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	13	F
54	8	clip	16	F
76	12	clip	40	F
104	12	clip	29	X
124	16	clip	107	R
152	12	clip	1	R
180	8	clip	49	F
196	8	clip	125	mono
212	12	clip	77	R
234	16	clip	103	R
258	12	clip	30	R
282	12	clip	78	F
302	12	clip	88	F
324	16	clip	97	F
356	8	clip	59	F
374	8	clip	6	F
390	12	clip	86	F
418	8	clip	119	mono
434	8	clip	10	F
450	12	clip	39	F
472	12	clip	89	F
500	8	clip	42	X
518	16	clip	110	F
548	12	clip	67	X
568	12	clip	73	F
592	12	clip	37	R
612	8	clip	118	mono
632	12	clip	68	R
652	12	clip	34	X
676	8	clip	128	mono
694	8	clip	115	mono
716	16	clip	102	F
742	48	Go_NoGo	-1	Go_NoGo
798	16	clip	108	R
822	12	clip	24	F
842	8	clip	116	mono
866	12	clip	26	F
886	12	clip	38	F
908	8	clip	117	mono
924	8	clip	60	F
946	12	clip	96	F
966	8	clip	56	F
982	16	clip	109	F
1008	12	clip	87	R
1034	12	clip	3	F
1056	12	clip	95	F
1078	8	clip	23	F
1096	12	clip	2	X
1116	8	clip	44	F
1132	12	clip	93	F
1158	16	clip	105	F
1182	12	clip	92	F
1202	12	clip	79	X
1226	8	clip	22	R
1246	8	clip	113	mono
1264	8	clip	46	F
1288	12	clip	31	R
1314	8	clip	50	F
1332	12	clip	70	F
1352	8	clip	58	F
1372	12	clip	83	X
1394	12	clip	47	F
1420	12	clip	18	F
1442	8	clip	64	F
1466	8	clip	51	F
