onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	75	F
52	8	clip	74	F
68	12	clip	32	F
96	8	clip	41	F
116	12	clip	59	F
142	12	clip	10	F
164	8	clip	79	F
186	12	clip	49	F
212	8	clip	9	R
236	8	clip	71	R
252	16	clip	104	F
276	12	clip	16	R
304	16	clip	101	F
328	8	clip	123	mono
344	8	clip	124	mono
360	12	clip	51	R
380	8	clip	47	X
396	8	clip	115	mono
416	8	clip	114	mono
434	8	clip	113	mono
458	16	clip	103	R
488	48	Go_NoGo	-1	Go_NoGo
544	12	clip	96	F
564	12	clip	15	R
584	12	clip	90	R
606	16	clip	108	F
630	12	clip	36	R
650	12	clip	45	F
670	8	clip	20	F
686	16	clip	109	F
718	12	clip	6	R
742	12	clip	19	F
762	12	clip	92	F
790	8	clip	18	F
808	16	clip	110	F
836	12	clip	26	R
862	8	clip	69	F
886	12	clip	52	F
908	12	clip	62	F
932	12	clip	50	F
952	12	clip	29	F
978	12	clip	34	R
998	8	clip	2	F
1016	48	Go_NoGo	-1	Go_NoGo
1072	16	clip	99	R
1098	8	clip	67	F
1118	8	clip	24	X
1134	8	clip	116	X
1156	12	clip	87	F
1178	12	clip	31	R
1200	16	clip	97	R
1226	8	clip	77	F
1242	12	clip	85	R
1264	8	clip	8	R
1286	8	clip	122	mono
1304	8	clip	70	F
1322	12	clip	22	F
1342	12	clip	56	F
1362	12	clip	86	F
1382	12	clip	30	R
1404	12	clip	93	F
1428	12	clip	48	F
1452	8	clip	128	mono
1468	12	clip	55	F
1496	12	clip	53	R
1516	12	clip	13	F
