onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	121	mono
52	12	clip	44	F
72	12	clip	91	R
100	12	clip	95	R
122	8	clip	33	R
140	12	clip	17	F
168	8	clip	120	mono
184	12	clip	81	F
204	12	clip	57	R
228	16	clip	107	F
252	8	clip	72	F
270	12	clip	54	F
292	12	clip	61	F
318	12	clip	88	F
338	8	clip	73	F
360	8	clip	1	R
382	8	clip	80	F
398	12	clip	3	F
426	8	clip	125	mono
448	16	clip	98	F
472	12	clip	35	F
492	48	Go_NoGo	-1	Go_NoGo
548	12	clip	42	F
572	8	clip	66	F
588	8	clip	117	mono
604	16	clip	105	F
636	12	clip	84	F
664	12	clip	5	F
686	8	clip	118	mono
704	8	clip	76	F
728	8	clip	37	F
744	8	clip	65	F
762	12	clip	28	R
782	12	clip	60	F
808	16	clip	100	F
832	12	clip	64	F
854	12	clip	27	F
878	8	clip	127	mono
898	8	clip	78	F
918	8	clip	68	F
934	12	clip	14	F
960	12	clip	39	F
982	12	clip	23	F
1004	48	Go_NoGo	-1	Go_NoGo
1060	8	clip	126	mono
1084	16	clip	112	F
1114	8	clip	119	mono
1130	12	clip	21	F
1150	8	clip	7	F
1166	8	clip	25	F
1182	12	clip	11	F
1202	12	clip	94	F
1222	16	clip	106	F
1248	12	clip	46	F
1268	16	clip	111	R
1296	12	clip	4	F
1318	8	clip	12	R
1336	12	clip	63	F
1356	8	clip	38	F
1376	12	clip	83	R
1396	12	clip	82	F
1416	12	clip	40	F
1442	16	clip	102	R
1468	12	clip	89	F
1490	8	clip	43	F
1514	12	clip	58	R
