onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	16	clip	102	R
58	12	clip	88	F
86	12	clip	92	F
108	8	clip	127	mono
124	8	clip	2	F
142	12	clip	36	X
166	12	clip	94	X
188	8	clip	74	X
210	12	clip	44	F
236	8	clip	69	F
256	16	clip	106	R
280	12	clip	50	R
306	8	clip	66	F
324	8	clip	126	mono
340	12	clip	56	F
360	8	clip	124	mono
378	8	clip	78	F
394	16	clip	104	X
418	12	clip	59	F
438	8	clip	73	F
456	8	clip	33	F
472	48	Go_NoGo	-1	Go_NoGo
528	12	clip	15	F
548	12	clip	54	F
574	8	clip	71	F
590	12	clip	34	F
610	12	clip	35	F
632	8	clip	72	F
648	12	clip	14	F
676	12	clip	30	R
696	12	clip	55	F
716	8	clip	65	F
740	16	clip	97	F
766	8	clip	20	F
786	12	clip	95	F
808	12	clip	5	F
828	12	clip	63	F
848	16	clip	103	R
876	8	clip	125	mono
898	8	clip	122	mono
918	8	clip	8	F
934	12	clip	91	F
954	12	clip	13	F
980	48	Go_NoGo	-1	Go_NoGo
1036	12	clip	27	F
1064	12	clip	3	F
1086	8	clip	119	mono
1102	8	clip	113	mono
1120	16	clip	108	F
1152	16	clip	101	X
1182	8	clip	47	F
1204	12	clip	86	F
1226	12	clip	58	F
1254	8	clip	9	F
1270	12	clip	42	F
1292	12	clip	62	F
1312	8	clip	123	mono
1336	12	clip	22	X
1356	12	clip	19	F
1378	12	clip	81	F
1402	8	clip	41	F
1426	12	clip	39	F
1446	12	clip	4	F
1470	16	clip	109	F
1496	8	clip	43	F
1514	12	clip	90	F
