onset	duration	trial_type	clip_id	mem_type
2	16	clip	112	F
28	12	clip	89	F
50	12	clip	29	F
70	8	clip	79	R
94	12	clip	28	X
118	8	clip	24	F
136	16	clip	99	R
160	16	clip	111	R
192	8	clip	77	R
214	8	clip	7	F
230	12	clip	51	R
256	12	clip	53	R
276	12	clip	26	R
296	12	clip	40	X
316	16	clip	110	F
344	8	clip	121	mono
368	12	clip	6	R
396	12	clip	17	F
418	12	clip	60	F
440	8	clip	114	mono
456	12	clip	23	F
482	48	Go_NoGo	-1	Go_NoGo
538	12	clip	48	F
560	8	clip	118	mono
582	12	clip	61	F
602	12	clip	82	F
626	12	clip	31	R
646	16	clip	107	F
670	8	clip	1	R
694	12	clip	52	F
722	8	clip	68	F
742	8	clip	70	R
760	8	clip	116	mono
778	12	clip	85	F
798	8	clip	18	F
814	8	clip	75	R
830	12	clip	87	F
856	8	clip	80	F
874	12	clip	83	F
896	16	clip	100	R
922	12	clip	57	F
944	8	clip	12	R
964	8	clip	76	F
980	48	Go_NoGo	-1	Go_NoGo
1036	16	clip	98	F
1060	8	clip	25	F
1078	12	clip	10	F
1100	8	clip	117	mono
1116	12	clip	11	F
1136	12	clip	46	F
1156	12	clip	49	X
1176	12	clip	32	R
1202	12	clip	21	F
1224	12	clip	93	F
1252	8	clip	128	mono
1268	12	clip	84	F
1288	16	clip	105	F
1318	8	clip	115	mono
1336	8	clip	37	F
1358	12	clip	45	R
1382	8	clip	38	F
1398	8	clip	120	mono
1418	12	clip	64	F
1438	12	clip	96	F
1462	12	clip	16	F
1490	8	clip	67	F
