onset	duration	trial_type	clip_id	mem_type
14	12	clip	32	R
40	8	clip	46	F
56	12	clip	2	F
84	8	clip	115	mono
108	12	clip	78	F
130	12	clip	95	F
154	8	clip	28	F
170	12	clip	9	F
196	8	clip	62	F
214	8	clip	116	mono
234	16	clip	100	F
260	8	clip	54	F
284	8	clip	52	F
300	12	clip	7	F
322	8	clip	19	F
344	8	clip	16	F
362	12	clip	91	F
388	16	clip	101	F
412	8	clip	121	mono
428	12	clip	92	F
448	8	clip	127	mono
466	48	Go_NoGo	-1	Go_NoGo
524	8	clip	58	F
540	12	clip	75	F
568	12	clip	68	F
590	12	clip	18	F
610	12	clip	83	R
630	16	clip	97	F
662	16	clip	102	R
686	12	clip	89	F
714	12	clip	48	F
734	16	clip	112	F
760	12	clip	30	F
788	12	clip	96	F
808	8	clip	56	F
830	8	clip	61	F
850	8	clip	128	mono
866	8	clip	50	F
882	8	clip	14	F
900	8	clip	118	mono
918	12	clip	88	F
940	12	clip	47	F
962	12	clip	73	F
982	48	Go_NoGo	-1	Go_NoGo
1040	12	clip	43	F
1060	12	clip	26	F
1080	8	clip	35	F
1096	12	clip	40	F
1116	16	clip	109	F
1140	12	clip	33	F
1162	12	clip	65	F
1182	12	clip	1	F
1202	12	clip	86	F
1228	8	clip	42	F
1252	8	clip	57	F
1270	12	clip	34	F
1294	8	clip	113	mono
1316	8	clip	17	F
1336	16	clip	107	F
1364	12	clip	93	F
1386	12	clip	66	F
1406	12	clip	31	F
1428	8	clip	119	mono
1444	12	clip	90	F
1468	12	clip	37	F
1492	16	clip	99	F
