onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	45	F
56	12	clip	87	F
80	8	clip	126	mono
104	12	clip	41	X
124	12	clip	69	F
144	12	clip	36	F
168	8	clip	122	mono
184	12	clip	27	F
210	12	clip	67	F
230	8	clip	10	F
248	12	clip	76	F
272	8	clip	120	mono
288	8	clip	22	F
312	12	clip	29	F
332	16	clip	108	F
358	16	clip	110	F
382	12	clip	74	F
404	8	clip	117	mono
420	16	clip	105	F
448	8	clip	53	R
466	12	clip	12	R
488	48	Go_NoGo	-1	Go_NoGo
546	8	clip	125	mono
566	8	clip	63	F
590	12	clip	77	F
612	8	clip	64	F
628	8	clip	23	F
648	8	clip	44	F
664	8	clip	55	F
680	12	clip	25	F
708	12	clip	21	F
732	12	clip	24	F
752	12	clip	8	R
778	12	clip	70	X
798	12	clip	94	F
818	8	clip	59	F
836	8	clip	4	F
852	16	clip	98	F
878	16	clip	111	F
902	4	clip	81	X
